iter	Passed	Remaining
0	130	130855
1	131	65715
2	132	43972
3	132	33094
4	133	26561
5	134	22211
6	134	19148
7	135	16849
8	136	15024
9	136	13562
10	137	12380
11	138	11381
12	138	10546
13	139	9826
14	140	9195
15	140	8650
16	141	8165
17	141	7738
18	142	7356
19	143	7011
20	143	6705
21	144	6422
22	145	6160
23	145	5917
24	146	5702
25	146	5497
26	147	5312
27	147	5133
28	148	4968
29	148	4815
30	150	4696
31	151	4581
32	152	4458
33	152	4338
34	153	4224
35	153	4118
36	154	4018
37	154	3921
38	155	3829
39	155	3742
40	156	3659
41	156	3580
42	157	3508
43	158	3436
44	158	3370
45	159	3305
46	159	3241
47	160	3182
48	161	3125
49	161	3069
50	162	3016
51	162	2963
52	163	2913
53	163	2866
54	164	2825
55	165	2784
56	165	2742
57	166	2701
58	166	2661
59	167	2621
60	167	2583
61	168	2547
62	168	2511
63	169	2477
64	170	2447
65	170	2416
66	171	2384
67	171	2354
68	172	2325
69	172	2298
70	173	2273
71	174	2248
72	175	2224
73	176	2204
74	176	2181
75	177	2158
76	178	2137
77	178	2115
78	179	2093
79	180	2073
80	181	2053
81	181	2033
82	181	2009
83	182	1988
84	182	1968
85	183	1950
86	184	1931
87	184	1913
88	185	1895
89	185	1877
90	186	1860
91	186	1845
92	187	1829
93	188	1813
94	188	1798
95	189	1783
96	189	1768
97	190	1753
98	190	1738
99	191	1723
100	192	1709
101	192	1694
102	193	1681
103	193	1669
104	194	1657
105	195	1645
106	195	1633
107	196	1621
108	196	1609
109	197	1598
110	198	1586
111	198	1574
112	199	1562
113	199	1551
114	200	1540
115	200	1529
116	201	1517
117	201	1507
118	202	1497
119	202	1486
120	203	1476
121	203	1466
122	204	1456
123	204	1447
124	205	1438
125	206	1429
126	206	1419
127	207	1411
128	208	1406
129	209	1399
130	209	1392
131	210	1384
132	211	1378
133	212	1371
134	212	1363
135	213	1355
136	214	1348
137	214	1341
138	215	1333
139	215	1325
140	216	1318
141	216	1310
142	217	1303
143	218	1296
144	218	1289
145	219	1282
146	219	1275
147	220	1268
148	220	1261
149	221	1255
150	222	1249
151	222	1242
152	223	1236
153	223	1229
154	224	1223
155	225	1217
156	225	1212
157	226	1207
158	227	1201
159	227	1196
160	228	1189
161	228	1183
162	229	1178
163	229	1172
164	230	1166
165	231	1161
166	231	1155
167	232	1150
168	232	1144
169	233	1139
170	234	1134
171	234	1129
172	235	1123
173	235	1119
174	236	1114
175	236	1109
176	237	1104
177	238	1099
178	238	1094
179	239	1089
180	239	1084
181	240	1080
182	241	1076
183	241	1071
184	242	1067
185	242	1062
186	243	1057
187	243	1053
188	244	1048
189	244	1044
190	245	1040
191	246	1036
192	246	1031
193	247	1028
194	247	1023
195	248	1019
196	249	1015
197	249	1011
198	250	1008
199	251	1004
200	251	1000
201	252	996
202	252	993
203	253	989
204	254	985
205	254	981
206	255	978
207	256	975
208	256	971
209	257	968
210	258	965
211	258	961
212	259	957
213	259	954
214	260	951
215	261	947
216	261	944
217	262	940
218	262	937
219	263	933
220	264	930
221	264	927
222	265	924
223	265	921
224	266	917
225	266	914
226	267	911
227	268	908
228	268	904
229	269	901
230	269	898
231	270	895
232	271	893
233	272	891
234	272	888
235	273	885
236	273	881
237	274	878
238	275	876
239	275	873
240	276	870
241	276	867
242	277	864
243	278	861
244	278	859
245	279	856
246	280	853
247	280	851
248	281	848
249	282	846
250	282	843
251	283	840
252	283	838
253	284	835
254	284	832
255	285	829
256	286	827
257	286	825
258	287	822
259	288	820
260	288	817
261	289	815
262	289	812
263	290	809
264	291	807
265	291	804
266	292	802
267	292	799
268	293	797
269	294	795
270	294	793
271	295	790
272	296	788
273	296	786
274	297	783
275	297	781
276	298	778
277	299	776
278	299	774
279	300	772
280	300	769
281	301	768
282	302	765
283	303	764
284	303	762
285	304	759
286	304	757
287	305	755
288	306	753
289	306	750
290	307	748
291	307	746
292	308	744
293	309	742
294	309	740
295	310	738
296	311	736
297	311	733
298	312	731
299	312	729
300	313	727
301	313	725
302	314	723
303	314	721
304	315	719
305	316	717
306	317	715
307	317	714
308	318	712
309	319	710
310	319	708
311	320	706
312	320	704
313	321	702
314	321	699
315	322	698
316	323	696
317	323	694
318	324	692
319	324	690
320	325	688
321	326	686
322	326	684
323	327	683
324	328	681
325	328	679
326	329	677
327	329	675
328	330	673
329	330	671
330	331	669
331	332	668
332	332	666
333	333	665
334	334	663
